',test_c
a,a
able,able
about,about
above,above
according,according
accordingly,accordingly
across,across
actually,actually
after,after
afterwards,afterwards
again,again
against,against
ain't,ain't
all,all
allow,allow
allows,allows
almost,almost
alone,alone
along,along
already,already
also,also
although,although
always,always
am,am
among,among
amongst,amongst
an,an
an',an'
and,and
another,another
any,any
anybody,anybody
anyhow,anyhow
anyone,anyone
anything,anything
anyway,anyway
anyways,anyways
anywhere,anywhere
apart,apart
appear,appear
appreciate,appreciate
appropriate,appropriate
are,are
aren't,aren't
around,around
as,as
aside,aside
ask,ask
asking,asking
associated,associated
at,at
available,available
away,away
awfully,awfully
b,b
be,be
became,became
because,because
become,become
becomes,becomes
becoming,becoming
been,been
before,before
beforehand,beforehand
behind,behind
being,being
believe,believe
below,below
beside,beside
besides,besides
best,best
better,better
between,between
beyond,beyond
both,both
brief,brief
but,but
by,by
c,c
c'mon,c'mon
came,came
can,can
can't,can't
cannot,cannot
cant,cant
cause,cause
causes,causes
certain,certain
certainly,certainly
changes,changes
clearly,clearly
co,co
com,com
come,come
comes,comes
concerning,concerning
consequently,consequently
consider,consider
considering,considering
contain,contain
containing,containing
contains,contains
corresponding,corresponding
could,could
couldn't,couldn't
course,course
currently,currently
d,d
definitely,definitely
described,described
despite,despite
did,did
didn't,didn't
different,different
do,do
does,does
doesn't,doesn't
doing,doing
don't,don't
done,done
down,down
downwards,downwards
during,during
e,e
each,each
edu,edu
eg,eg
eight,eight
either,either
else,else
elsewhere,elsewhere
enough,enough
entirely,entirely
especially,especially
et,et
etc,etc
even,even
ever,ever
every,every
everybody,everybody
everyone,everyone
everything,everything
everywhere,everywhere
ex,ex
exactly,exactly
example,example
except,except
f,f
far,far
few,few
fifth,fifth
first,first
five,five
followed,followed
following,following
follows,follows
for,for
former,former
formerly,formerly
forth,forth
four,four
from,from
further,further
furthermore,furthermore
g,g
get,get
gets,gets
getting,getting
given,given
gives,gives
go,go
goes,goes
going,going
gone,gone
got,got
gotten,gotten
greetings,greetings
h,h
had,had
hadn't,hadn't
happens,happens
hardly,hardly
has,has
hasn't,hasn't
have,have
haven't,haven't
having,having
he,he
he's,he's
hello,hello
help,help
hence,hence
her,her
here,here
here's,here's
hereafter,hereafter
hereby,hereby
herein,herein
hereupon,hereupon
hers,hers
herself,herself
hi,hi
him,him
himself,himself
his,his
hither,hither
hopefully,hopefully
how,how
howbeit,howbeit
however,however
i,i
i'd,i'd
i'll,i'll
i'm,i'm
i've,i've
ie,ie
if,if
ignored,ignored
immediate,immediate
in,in
inasmuch,inasmuch
inc,inc
indeed,indeed
indicate,indicate
indicated,indicated
indicates,indicates
inner,inner
insofar,insofar
instead,instead
into,into
inward,inward
is,is
isn't,isn't
it,it
it'd,it'd
it'll,it'll
it's,it's
its,its
itself,itself
j,j
just,just
k,k
keep,keep
keeps,keeps
kept,kept
know,know
knows,knows
known,known
l,l
last,last
lately,lately
later,later
latter,latter
latterly,latterly
least,least
less,less
lest,lest
let,let
let's,let's
like,like
liked,liked
likely,likely
little,little
look,look
looking,looking
looks,looks
ltd,ltd
m,m
mainly,mainly
many,many
may,may
maybe,maybe
me,me
mean,mean
meanwhile,meanwhile
merely,merely
might,might
more,more
moreover,moreover
most,most
mostly,mostly
much,much
must,must
my,my
myself,myself
n,n
name,name
namely,namely
nd,nd
near,near
nearly,nearly
necessary,necessary
need,need
needs,needs
neither,neither
never,never
nevertheless,nevertheless
new,new
next,next
nine,nine
no,no
nobody,nobody
non,non
none,none
noone,noone
nor,nor
normally,normally
not,not
nothing,nothing
novel,novel
now,now
nowhere,nowhere
o,o
o',o'
obviously,obviously
of,of
off,off
often,often
oh,oh
ok,ok
okay,okay
old,old
on,on
once,once
one,one
ones,ones
only,only
onto,onto
or,or
other,other
others,others
otherwise,otherwise
ought,ought
our,our
ours,ours
ourselves,ourselves
out,out
outside,outside
over,over
overall,overall
own,own
p,p
particular,particular
particularly,particularly
per,per
perhaps,perhaps
placed,placed
please,please
plus,plus
possible,possible
presumably,presumably
probably,probably
provides,provides
q,q
que,que
quite,quite
qv,qv
r,r
rather,rather
rd,rd
re,re
really,really
reasonably,reasonably
regarding,regarding
regardless,regardless
regards,regards
relatively,relatively
respectively,respectively
right,right
s,s
said,said
same,same
saw,saw
say,say
saying,saying
says,says
second,second
secondly,secondly
see,see
seeing,seeing
seem,seem
seemed,seemed
seeming,seeming
seems,seems
seen,seen
self,self
selves,selves
sensible,sensible
sent,sent
serious,serious
seriously,seriously
seven,seven
several,several
shall,shall
she,she
should,should
shouldn't,shouldn't
since,since
six,six
so,so
some,some
somebody,somebody
somehow,somehow
someone,someone
something,something
sometime,sometime
sometimes,sometimes
somewhat,somewhat
somewhere,somewhere
soon,soon
sorry,sorry
specified,specified
specify,specify
specifying,specifying
still,still
sub,sub
such,such
sup,sup
sure,sure
t,t
'tain't,'tain't
t's,t's
take,take
taken,taken
tell,tell
tends,tends
th,th
than,than
thank,thank
thanks,thanks
thanx,thanx
that,that
that's,that's
thats,thats
the,the
their,their
theirs,theirs
them,them
themselves,themselves
then,then
thence,thence
there,there
there's,there's
thereafter,thereafter
thereby,thereby
therefore,therefore
therein,therein
theres,theres
thereupon,thereupon
these,these
they,they
they'd,they'd
